stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,wheelchair_boarding
ccaa54ca-7604-4319-8a37-2d272785a541,"1322","University City/Toms Creek Ebnd","406",37.2429866935603,-80.4295678692798,0,0
2df6db24-82f0-4666-9898-e17207303eb9,"1323","Patrick Henry/Toms Creek Ebnd","407",37.2440528717073,-80.4275937633272,0,0
602797ce-456d-4f46-95c9-185129743f4e,"1324","The Village on Patrick Henry Ebnd","408",37.2451177087496,-80.4247385516607,0,0
f5338b6b-4dc0-46fa-b30f-895865e3cd59,"1325","Patrick Henry/Progress Ebnd","409",37.24579898988,-80.4228449119833,0,0
9fae3bff-25c9-4695-bf1c-6c20c78fb31a,"1106","Stanger/Old Turner Wbnd","706",37.2314612407363,-80.4220442725446,0,0
e53cd06b-8fd9-4666-9a56-a98e6b6a90df,"1652","Country Club/Main Wbnd",,37.217321,-80.403612,0,0
a6c6c236-2db4-4730-a40c-fe773424858b,"1653","Country Club/Draper Wbnd",,37.216379,-80.405167,0,0
e8806753-6872-47c2-b725-8ebdfb111df0,"1654","Country Club/Airport Wbnd",,37.214605,-80.407806,0,0
d757474a-6752-4013-bb35-0a0a4a6fcece,"1655","Airport/Fairview Sbnd",,37.2122,-80.406166,0,0
a4adbb10-523b-44a9-b9e1-f20339022686,"1656","Hubbard/Kennedy Ebnd",,37.210097,-80.401928,0,0
e4661991-f220-4a4e-98ea-ca61fda84a4e,"1641","Fairfax Circle",,37.207848,-80.393925,0,0
5d87b09e-beb5-4f09-8df6-333f0b5bb341,"1132","Life Sciences 1 Bldg","748",37.2206371856116,-80.4245454326001,0,0
d14ba7a0-e0a6-4346-a8ba-2f1e6ae5d16e,"1131","Bioinfomatics Bldg","747",37.2211521697731,-80.427106942362,0,0
73612fcb-d770-4434-8d9d-8e09df233d59,"1140","Cage/Duck Pond Wbnd",,37.2224449945954,-80.4285741107806,0,0
589d2fcf-55b1-451e-ae60-d8c349018ed7,"1141","Cage/Smithfield Wbnd",,37.2216845882943,-80.4303068179075,0,0
5e7624da-8a42-47df-97e3-abed6b271cbd,"1135","Smithfield Lot",,37.223267,-80.429167,0,0
185e6f85-a6a2-4858-a7a6-b0f9e9ebebf1,"1117","Overflow Lot Wbnd","721",37.2241736784085,-80.4307547468397,0,0
7cc96573-fdf2-48b4-b6a8-b1a55519370a,"1130","Oak Lane Nbnd","745",37.2251419559206,-80.4361835382094,0,0
6ef87e26-7675-4c3a-b2db-887f68d7109e,"1118","Oak Lane North","722",37.2263368801079,-80.437413331116,0,0
b49c6379-f905-474d-82e1-4feb368297d7,"1119","Oak Lane South","723",37.2248603239572,-80.4363565407012,0,0
7b6a2e90-bcf5-4812-8dac-bca8e0b7f136,"1120","Overflow Lot Ebnd","724",37.2240905299241,-80.4308298486966,0,0
b7ec9e04-65b1-4f64-a1d4-0f8fccbda0c4,"1137","Smithfield/Duck Pond Sbnd",,37.223169,-80.429897,0,0
5c3d1aa7-2e3a-4db6-86c8-ff09e45765a7,"1138","Cage/Smithfield Ebnd",,37.2216483784704,-80.4303202289534,0,0
1492c01e-c8e4-425f-8212-5a99ee95afa4,"1139","Cage/Duck Pond Ebnd",,37.2224463356999,-80.428579475199,0,0
466355ef-b149-43ab-9885-09528cdcba2d,"1121","I Lot/Cage Sbnd","725",37.2206774187492,-80.4267528907509,0,0
