shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
c5eb855b-bb1f-42d9-9f52-376d07b5085c,37.2326588471329,-80.4243751123175,15,488.67
d401a816-6b6a-4642-acd6-9242c1c0f590,37.2208396924042,-80.4227470113484,23,1017.11
0ae66fcd-b23c-4891-b510-c8a474b41982,37.2343700965864,-80.4256478205709,80,3897.28
4f9c183a-37c9-4ac4-a11e-74ea77a6e777,37.2284973995982,-80.4228542997154,380,18947.19
e52bcf8a-1dbe-4e8b-9c32-c7ccc3a47868,37.2459639457443,-80.4223782075869,59,2469.94
1563593b-056b-480a-b99f-a2da171c5564,37.2097956961271,-80.3956794974613,75,3826.72
9885263e-7059-44c1-ab40-68928384f6b4,37.2280776338623,-80.4394357168338,44,2076.7
fa4b8b82-f026-4c32-a7b0-9f258e7f2cc9,37.2207552028152,-80.4045643153527,30,1859.65
a25b57dd-ddc3-49e9-bc5d-956f709442eb,37.1657243171766,-80.4177272568779,241,13847.23
a25b57dd-ddc3-49e9-bc5d-956f709442eb,37.1773744927272,-80.4166235278024,110,7942.72
56ddb11e-f488-48e1-bf6b-7efaf09ab74d,37.2390465282826,-80.435648437479,41,2243.66
51481b8d-dcd5-447a-b06c-7df6be3571c6,37.2219461036888,-80.4487765102849,120,5382.11
0446bbaf-909f-4b61-9154-3c47264af370,37.2154229709758,-80.4533858867518,92,4166.52
1327e202-79fd-4bfc-9b07-91089ed9f814,37.230627073683,-80.417353088698,6,252.14
9862e5d8-5942-4691-a103-3a1123d132f0,37.2389848374716,-80.4221475375979,117,5172
df2d5768-1175-4473-9e45-f9820df8b6a8,37.2383826815118,-80.4203625273921,33,1363.83
497c4895-853b-43b3-b572-3d12f316afe6,37.2191324662645,-80.402743095323,163,7258.5
bc10d5d6-a28a-4e07-84d2-f11d152562a4,37.2299752968535,-80.418780023979,189,12170.38
fa4b8b82-f026-4c32-a7b0-9f258e7f2cc9,37.2260673180859,-80.4103833681574,374,23131.49
1327e202-79fd-4bfc-9b07-91089ed9f814,37.1956899580771,-80.3995821118106,88,5939.8
a25b57dd-ddc3-49e9-bc5d-956f709442eb,37.2222532166394,-80.406195098531,363,22568.24
1327e202-79fd-4bfc-9b07-91089ed9f814,37.2314464885858,-80.4159824798097,10,403.8
eb802992-f6a3-41d9-b1be-64a865871d09,37.2089762812243,-80.3960590300595,35,1825.25
